Indicador,Provincia,Ano,Valor,Unidad,Frecuencia, 
Produccion de energia hidraulica,Soria,2008,1128,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Valladolid,2008,580,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Zamora,2008,101279,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Avila,2009,3968,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Burgos,2009,7433,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Leon,2009,77042,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Palencia,2009,11807,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Salamanca,2009,267001,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Segovia,2009,639,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Soria,2009,1584,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Valladolid,2009,572,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Zamora,2009,125492,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Avila,2010,7522,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Burgos,2010,9877,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Leon,2010,107634,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Palencia,2010,18998,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Salamanca,2010,588142,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Segovia,2010,859,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Soria,2010,1576,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Valladolid,2010,818,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Zamora,2010,276253,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Avila,2011,10981,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Burgos,2011,6328,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Leon,2011,24312,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Palencia,2011,12065,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Salamanca,2011,461655,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Segovia,2011,604,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Soria,2011,1794,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Valladolid,2011,590,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Zamora,2011,184070,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Avila,2012,5107,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Burgos,2012,5866,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Leon,2012,40424,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Palencia,2012,7937,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Salamanca,2012,330007,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Segovia,2012,356,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Soria,2012,970,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Valladolid,2012,279,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Zamora,2012,72872,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Avila,2013,7152,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Burgos,2013,6849,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Leon,2013,88917,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Palencia,2013,14738,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Salamanca,2013,346350,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Segovia,2013,930,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Soria,2013,2200,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Valladolid,2013,714,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Zamora,2013,187382,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Avila,2014,10077,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Burgos,2014,7768,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Leon,2014,94759,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Palencia,2014,18567,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Salamanca,2014,528961,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Segovia,2014,995,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Soria,2014,2480,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Valladolid,2014,740,Toneladas equivalentes de petroleo,12,meses
Produccion de energia hidraulica,Zamora,2014,247806,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2000,1050013,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2001,931727,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2002,1041009,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2003,974385,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2004,1055323,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2005,959106,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2006,1001172,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2007,907484,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2008,1047775,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2009,932909,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2010,999966,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2011,976610,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2012,1011046,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2013,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia nuclear,Burgos,2014,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2000,16252,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2000,1089546,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2000,2752214,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2000,265079,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2000,362551,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2000,1020,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2000,27332,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2000,16951,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2000,170716,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2001,23508,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2001,973797,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2001,2471754,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2001,267147,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2001,685671,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2001,3716,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2001,31907,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2001,5553,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2001,251761,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2002,27503,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2002,1097405,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2002,2243450,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2002,231453,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2002,307606,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2002,10026,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2002,34675,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2002,4096,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2002,125081,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2003,40058,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2003,1042333,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2003,2272586,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2003,235767,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2003,639855,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2003,14849,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2003,42153,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2003,7535,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2003,313018,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2004,39746,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2004,1152352,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2004,2216407,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2004,228276,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2004,451798,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2004,4081,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2004,63032,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2004,6629,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2004,216953,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2005,42140,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2005,1093517,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2005,2093146,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2005,272820,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2005,202590,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2005,11034,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2005,129355,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2005,3456,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2005,150426,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2006,47731,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2006,1187184,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2006,2096763,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2006,281908,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2006,315278,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2006,11258,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2006,149211,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2006,4979,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2006,246055,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2007,46903,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2007,1139808,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2007,1971493,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2007,270498,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2007,475457,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2007,14539,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2007,167549,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2007,5535,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2007,273706,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2008,28774,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2008,1219543,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2008,1745545,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2008,127766,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2008,288323,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2008,8275,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2008,129186,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2008,17544,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2008,157571,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2009,22365,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2009,1165250,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2009,1503247,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2009,221533,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2009,275127,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2009,8312,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2009,184750,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2009,21792,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2009,205756,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2010,33829,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2010,1251710,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2010,1231658,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2010,205759,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2010,596992,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2010,8933,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2010,198629,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2010,20270,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2010,356862,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2011,50222,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2011,1261968,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2011,907114,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2011,195722,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2011,482384,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2011,11436,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2011,186259,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2011,41414,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2011,271480,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2012,60092,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2012,1367936,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2012,850638,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2012,156180,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2012,371158,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2012,11925,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2012,246528,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2012,47726,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2012,176157,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2013,65383,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2013,402237,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2013,617731,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2013,177850,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2013,391037,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2013,13210,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2013,263223,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2013,57540,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2013,308397,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Avila,2014,71339,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Burgos,2014,380728,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Leon,2014,655286,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Palencia,2014,186502,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Salamanca,2014,572081,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Segovia,2014,12788,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Soria,2014,259228,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Valladolid,2014,55994,Toneladas equivalentes de petroleo,12,meses
Produccion de energia primaria,Zamora,2014,366074,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Avila,2011,8815,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Burgos,2011,3058,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Leon,2011,6285,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Palencia,2011,3249,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Salamanca,2011,8360,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Segovia,2011,3774,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Soria,2011,2774,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Valladolid,2011,15664,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Zamora,2011,10890,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Avila,2012,10241,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Burgos,2012,3473,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Leon,2012,6758,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Palencia,2012,3707,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Salamanca,2012,8998,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Segovia,2012,3783,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Soria,2012,3000,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Valladolid,2012,18379,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Zamora,2012,12439,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Avila,2013,10160,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Burgos,2013,3795,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Leon,2013,6664,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Palencia,2013,3989,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Salamanca,2013,8999,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Segovia,2013,3709,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Soria,2013,2785,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Valladolid,2013,20448,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Zamora,2013,12265,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Avila,2014,10032,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Burgos,2014,3917,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Leon,2014,6551,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Palencia,2014,4034,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Salamanca,2014,8708,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Segovia,2014,3720,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Soria,2014,2901,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Valladolid,2014,20625,Toneladas equivalentes de petroleo,12,meses
Produccion de energia solar,Zamora,2014,12170,Toneladas equivalentes de petroleo,12,meses
